,Sentence,Emotion
0,"During the period of falling in love, each time that we met and á especially when we had not met for a long time.",joy
1,When I was involved in a traffic accident.,fear
2,"When I was driving home after  several days of hard work, there á was a motorist ahead of me who was driving at 50 km/hour and á refused, despite his low speeed to let me overtake.",anger
3,When I lost the person who meant the most to me. ,sadness
4,"The time I knocked a deer down - the sight of the animal's á injuries and helplessness.  The realization that the animal was á so badly hurt that it had to be put down, and when the animal á screamed at the moment of death.",digust
5,When I did not speak the truth.,shame
6,When I caused problems for somebody because he could not keep the á appointed time and this led to various consequences.,guilty
7,When I got a letter offering me the Summer job that I had applied á for.  ,joy
8,When I was going home alone one night in Paris and a man came up á behind me and asked me if I was not afraid to be out alone so á late at night.,fear
9,When I was talking to HIM at a party for the first time in a long while and a friend came and interrupted us and HE left.,anger
10,When my friends did not ask me to go to a New Year's party á with them.,sadness
11,When I saw all the very drunk kids (13-14 years old) in town on á Walpurgis night.,digust
12,When I could not remember what to say about a presentation task á at an accounts meeting.,shame
13,When my uncle and my neighbour came home under police escort.,guilty
14,[ On days when I feel close to my partner and other friends.  á When I feel at peace with myself and also experience a close á contact with people whom I regard greatly.],joy
15,"Every time I imagine that someone I love or I could contact a á serious illness, even death.",fear
16,When I had been obviously unjustly treated and had no possibility á of elucidating this.,anger
17,When I think about the short time that we live and relate it to á the periods of my life when I think that I did not use this á short time.,sadness
18,At a gathering I found myself involuntarily sitting next to two á people who expressed opinions that I considered very low and á discriminating.,digust
19,When I realized that I was directing the feelings of discontent á with myself at my partner and this way was trying to put the blame á on him instead of sorting out my own feeliings.,shame
20,I feel guilty when when I realize that I consider material things á more important than caring for my relatives.  I feel very á self-centered.,guilty
21,After my girlfriend had taken her exam we went to her parent's á place.,joy
22,"When, for the first time I realized the meaning of death.",fear
23,When a car is overtaking another and I am forced to drive off the á road.,anger
24,"When I recently thought about the hard work it takes to study, and  á how one wants to try something else.  When I read a theoretical á book in English that I did not understand.",sadness
25,When I found a bristle in the liver paste tube.,digust
26,"When I was tired and unmotivated, I shouted at my girlfriend and á and brought up negative sides of her character which are actually á not so important.",shame
27,When I think that I do not study enough.  After the weekend I á think that I should have been able to have accomplished á something during that time.,guilty
28,When I pass an examination which I did not think I did well.,joy
29,"When one has arranged to meet someone and that person arrives á late, in the meantime one starts thinking about all that could á have gone wrong e.g a traffic accident.",fear
30,When one is unjustly accused of something one has not done.,anger
31,When one's studies seem hopelessly difficult and uninteresting.  ,sadness
32,"When one finds out that someone you know is not at all like one á had thought, for instance friends who steal and things like that, á quite unwarranted.",digust
33,"When one has been unjust, stupid towards someone else. ",shame
34,When one has neglected or been unjust to a good friend.,guilty
35,Passing an exam I did not expect to pass.,joy
36,When I climbed up a tree to pick apples.  The angle of the ladder á I was on did not enable me to get high enough.  This implied á that the ladder was not very stable.,fear
37,Friends who torture animals.,anger
38,[ Same as in anger.],sadness
39,Friends who torture animals.,digust
40,[ Same as above - friends who torture animals.],shame
41,[ When excuses are necessary and I get out of doing it myself.],guilty
42,When I had my children.,joy
43,When my 2 year old son climbed up and sat on the 7th floor á balcony with his legs hanging out.  He was holding on tightly to á the upper railing of the balcony but he could have easily lost á his balance when he sat down.,fear
44,When my partner was attacked and lost three teeth.,anger
45,When I see children on T.V from areas devastated by drought and á war.,sadness
46,When I nearly walked on a blindworm and then saw it crawl away.,digust
47,When I saw my 18 year old son grab an oxygen mask as he had á breathing difficulties.  I had a bad conscience because I had not á stopped smoking.  Medication for the dilation of his breathing á tubes also caused a sense of guilt in me.,shame
48,"I experience a sense of guilt as my middle son cannot express á himself like other children, neither verbally nor in writing.",guilty
49,When my child was born.,joy
50,"It was winter/spring and the ice was melting.  I was far out on a á jetty and I poked the ice with a long branch to try and break it. á  The branch went through the ice and I fell in, the water closed á in over my head.",fear
51,"Unjust accusations directed at me and my way of acting, by á someone close to me.  ",anger
52,Failing an examination.,sadness
53,"A drunkard fell, started bleeding and wet himself.  Disgust that á turned into sadness-unpleasantness.",digust
54,"When, as an adult I have been caught lying or behaving badly.",shame
55,"When I am in an environment or with a person much worse off than á me, I realize how privileged I am.",guilty
56,When I saw a person I had not seen for a long time.,joy
57,"When, as a child, I was nearly knocked down by a car.",fear
58,"When I heard on the radio that the football match in Belgium had á ended in a catastrophe, and several people had died.  I could not á  understand how normal people could behave in such a way.",anger
59,"When I feel lonely, perhaps because I have to study a lot and I á am shut up in my appartment.  Nothing happens in particular á because there is no time for anything else.",sadness
60,When one learns through the mass media all the wars and killing á going on in the world.,digust
61,"I lied, to be precise I cancelled a meeting with a good friend.",shame
62,When one lets friends down,guilty
63,When I was accepted for a course on finance and accounting.,joy
64,"A bus drove over my right leg.  The event itself was not very á frightening but when I had to wait in the emergency ward for á three hours and then my leg began to swell, I was frightened.",fear
65,"At my Summer job, nobody looked after me in particular and I had á to learn all on my own.",anger
66,When I was not accepted as a student in finance and accounting.,sadness
67,When I had just moved into my new appartment I found a ventilator á in the kitchen.  I was going to clean it when I found that the á drum was full of mud and slime.  I felt disgusted.,digust
68,My elder brother and I have not always had a good relationship á and I feel ashamed of myself as I do not call him to talk to him á nowadays.,shame
69,At my Summer job a new caretaker had been employed who was my age á  but I preferred going out for lunch with the accounts personnel á rather than with him.,guilty
70,Passed an exam by 2 points.,joy
71,"In a cottage in a large forest, I was alone for a while in the á dark.",fear
72,When I spoke to Jan-Erik Wikstr÷m on the telephone. ,anger
